//X,Y,Z,R,G,B,Scalar field,Scalar field #2,Scalar field #3,Scalar field #4,Scalar field #5,Scalar field #6,Scalar field #7,(SF#6) - (SF#4)
1890.84436035,21305.06054688,39.46998978,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.84838867,21305.06054688,38.89796448,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.09240723,21305.03515625,38.50759125,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.30102539,21305.20312500,38.50198746,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.08703613,21304.76367188,38.51231384,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.82617188,21305.40429688,38.66282272,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.33227539,21305.20507812,38.50223160,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.02575684,21304.95312500,38.58901978,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03137207,21304.56640625,38.70503998,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.78076172,21305.47656250,38.51000214,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03417969,21304.56640625,38.95608139,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.67370605,21305.00976562,38.52768326,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.67871094,21305.20117188,38.52530670,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.02026367,21304.95312500,38.70767212,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.02160645,21304.95507812,38.95787430,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.16906738,21304.80859375,38.51185608,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.48901367,21304.94531250,38.50666046,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.94042969,21304.98828125,38.53597260,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.71862793,21305.47265625,38.51440811,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.84497070,21305.21289062,38.65533066,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.23193359,21305.39062500,38.50054932,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.08984375,21304.68750000,38.51160431,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03234863,21304.64453125,38.70987320,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.24694824,21305.31445312,38.50248337,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.10156250,21305.45898438,38.50387955,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03588867,21304.56640625,39.40148926,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.85168457,21305.05859375,38.55886841,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.84985352,21305.05859375,38.77733994,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.07946777,21304.64648438,38.51253128,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.08630371,21304.56835938,38.51016998,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.84362793,21305.06054688,39.32926941,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03051758,21304.56640625,39.03248596,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.60839844,21305.46679688,38.53056717,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.04516602,21304.52734375,39.28270721,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.04223633,21304.64453125,38.64632797,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03833008,21304.68359375,39.03419495,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.41333008,21304.58984375,38.51097107,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.89392090,21304.98632812,39.04309845,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.90527344,21304.98632812,39.15083694,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.23034668,21304.88867188,38.50999451,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.02404785,21304.87695312,38.71026230,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.73071289,21304.97656250,39.30203629,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.02673340,21304.83789062,39.07079697,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.97265625,21305.18164062,38.50328445,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.16906738,21305.07812500,38.50542831,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03747559,21304.68359375,38.65360260,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03906250,21304.68359375,38.77403259,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.33789062,21304.81835938,38.51498795,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.80395508,21305.13281250,38.52826309,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.58959961,21305.31054688,38.53182220,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.48937988,21305.06054688,38.50143051,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.20349121,21305.19726562,38.50131607,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.01562500,21304.95507812,39.08492661,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.48876953,21304.71093750,38.50468063,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.72790527,21305.39648438,38.51501846,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.32751465,21305.01171875,38.50314713,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03369141,21304.76171875,38.65357208,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.02429199,21304.95507812,38.82809830,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.76171875,21305.01562500,38.53142929,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.02575684,21304.95507812,38.77565765,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.83227539,21305.13476562,38.52497482,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.33386230,21304.50585938,38.51194382,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.01013184,21304.99218750,38.71080399,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.84387207,21305.06054688,39.27767563,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
