//X,Y,Z,R,G,B,Scalar field,Scalar field #2,Scalar field #3,Scalar field #4,Scalar field #5,Scalar field #6,Scalar field #7,(SF#6) - (SF#4)
1901.59716797,21163.66015625,53.18289948,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.72399902,21163.90625000,52.56421280,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.96325684,21164.09179688,52.95673370,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.58728027,21163.65429688,52.61986923,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.73986816,21164.29492188,52.66245270,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.95507812,21163.99218750,53.07675171,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.45446777,21163.51171875,52.80636597,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.09729004,21164.28320312,53.04965973,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.85876465,21164.06250000,53.04379654,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.78503418,21163.82226562,52.59466934,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.73107910,21163.89062500,52.57560730,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.80261230,21163.80468750,53.02666092,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.33496094,21164.05664062,52.91318130,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.82739258,21164.15039062,53.27640915,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.93835449,21164.20898438,53.44272995,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.75280762,21164.43164062,52.53891754,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.61157227,21163.81054688,52.83761978,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.78173828,21164.42773438,52.79460144,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.03674316,21164.14257812,53.12440109,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.70922852,21164.03710938,52.56562042,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.98547363,21164.05078125,52.96769714,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.74450684,21163.88867188,52.87789536,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.32763672,21163.82031250,52.90462494,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.90039062,21163.70507812,53.22901154,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.71203613,21164.22070312,53.44770432,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.72705078,21164.03906250,52.59679413,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.72973633,21164.18164062,52.56564331,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.78454590,21163.84179688,52.97938919,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
